date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
9/26/1920,1920,0,,RII,STP,1503.947,1300,0.824651201,0.175348799,1516.108,1287.838,48,0
10/3/1920,1920,0,,BFF,WBU,1478.004,1300,0.802000301,0.197999699,1489.757,1288.247,32,6
10/3/1920,1920,0,,CBD,PTQ,1504.688,1300,0.825267151,0.174732849,1516.803,1287.885,48,0
10/3/1920,1920,0,,CHI,MUT,1368.333,1300,0.682985571,0.317014429,1386.533,1281.8,20,0
10/3/1920,1920,0,,RII,MUN,1516.108,1478.004,0.64417109,0.35582891,1542.135,1451.977,45,0
10/3/1920,1920,0,,DAY,COL,1493.002,1504.908,0.575819124,0.424180876,1515.434,1482.475,14,0
10/3/1920,1920,0,,RCH,ABU,1503.42,1300,0.824212097,0.175787903,1510.934,1292.486,10,0
10/3/1920,1920,0,,AKR,WHE,1503.42,1300,0.824212097,0.175787903,1515.278,1288.142,43,0
10/10/1920,1920,0,,CBD,TLM,1516.803,1300,0.835096725,0.164903275,1527.799,1289.004,42,0
10/10/1920,1920,0,,CHI,KEW,1386.533,1300,0.705222821,0.294777179,1402.774,1283.76,25,7
10/10/1920,1920,0,,RII,HAM,1542.135,1444.259,0.718612516,0.281387484,1559.405,1426.99,26,0
10/10/1920,1920,0,,RCH,FTP,1510.934,1300,0.830391409,0.169608591,1523.607,1287.327,66,0
10/10/1920,1920,0,,DAY,CTI,1515.434,1464.506,0.660906212,0.339093788,1510.527,1469.414,0,0
10/10/1920,1920,0,,CHT,ARI,1300,1493.002,0.32369581,0.67630419,1305.377,1487.625,0,0
10/10/1920,1920,0,,AKR,COL,1515.278,1482.475,0.637146242,0.362853758,1540.552,1457.2,37,0
10/10/1920,1920,0,,DHR,CLP,1499.667,1300,0.821060013,0.178939987,1510.196,1289.472,40,14
10/10/1920,1920,0,,BFF,ABU,1489.757,1292.486,0.819024634,0.180975366,1502.536,1279.708,51,0
10/17/1920,1920,0,,CHT,DHR,1305.377,1510.196,0.308986267,0.691013733,1343.231,1472.342,12,0
10/17/1920,1920,0,,CBD,CTI,1527.799,1469.414,0.670458863,0.329541137,1540.777,1456.436,7,0
10/17/1920,1920,0,,ARI,MUT,1487.625,1281.8,0.826208954,0.173791046,1498.252,1271.172,33,3
10/17/1920,1920,0,,BFF,MCK,1502.536,1300,0.823473595,0.176526405,1512.265,1290.27,28,7
10/17/1920,1920,0,,DAY,HAM,1510.527,1426.99,0.701624941,0.298375059,1531.807,1405.71,44,0
10/17/1920,1920,0,,RCH,UTI,1523.607,1300,0.840419871,0.159580129,1513.225,1310.382,0,0
10/17/1920,1920,0,,FTW,COL,1300,1457.2,0.370342944,0.629657056,1335.595,1421.606,14,0
10/17/1920,1920,0,,AKR,CNC,1540.552,1300,0.853071677,0.146928323,1547.362,1293.191,13,0
10/17/1920,1920,0,,RII,CHI,1559.405,1402.774,0.781735803,0.218264197,1523.251,1438.927,0,7
10/24/1920,1920,0,,RII,ARI,1523.251,1498.252,0.626697735,0.373302265,1538.166,1483.337,7,0
10/24/1920,1920,0,,DHR,COL,1472.342,1421.606,0.660658473,0.339341527,1484.888,1409.059,6,0
10/24/1920,1920,0,,CHT,CHI,1343.231,1438.927,0.455939487,0.544060513,1321.666,1460.492,0,10
10/24/1920,1920,0,,DAY,CBD,1531.807,1540.777,0.579941831,0.420058169,1529.368,1543.215,20,20
10/24/1920,1920,0,,AKR,CTI,1547.362,1456.436,0.710452392,0.289547608,1558.607,1445.191,7,0
10/24/1920,1920,0,,RCH,SYR,1513.225,1300,0.83224075,0.16775925,1521.291,1291.934,21,7
10/24/1920,1920,0,,BFF,TLM,1512.265,1289.004,0.840152569,0.159847431,1522.621,1278.649,38,0
10/31/1920,1920,0,,CTI,COL,1445.191,1409.059,0.641564866,0.358435134,1459.443,1394.807,7,0
10/31/1920,1920,0,,DAY,CNC,1529.368,1293.191,0.849886888,0.150113112,1536.85,1285.709,23,7
10/31/1920,1920,0,,RII,CHT,1538.166,1321.666,0.834856389,0.165143611,1545.894,1313.938,20,7
10/31/1920,1920,0,,RCK,CHI,1300,1460.492,0.36593491,0.63406509,1276.143,1484.349,0,29
10/31/1920,1920,0,,CBD,AKR,1543.215,1558.607,0.570910419,0.429089581,1515.204,1586.618,0,10
10/31/1920,1920,0,,BFF,RCH,1522.621,1521.291,0.594313478,0.405686522,1542.193,1501.719,17,6
10/31/1920,1920,0,,LOG,HAM,1300,1405.71,0.441680256,0.558319744,1284.46,1421.25,9,14
10/31/1920,1920,0,,ARI,DHR,1483.337,1484.888,0.590308732,0.409691268,1507.955,1460.271,21,0
11/7/1920,1920,0,,PUL,HAM,1300,1421.25,0.419749688,0.580250312,1294.326,1426.924,13,14
11/7/1920,1920,0,,RCH,UTI,1501.719,1310.382,0.813906217,0.186093783,1511.868,1300.233,27,7
11/7/1920,1920,0,,CHT,ARI,1313.938,1507.955,0.322418041,0.677581959,1305.494,1516.399,3,6
11/7/1920,1920,0,,ZAN,COL,1300,1394.807,0.45720921,0.54279079,1278.366,1416.441,0,10
11/7/1920,1920,0,,RII,CHI,1545.894,1484.349,0.67446539,0.32553461,1540.573,1489.67,0,0
11/7/1920,1920,0,,CTI,CBD,1459.443,1515.204,0.513292857,0.486707143,1429.088,1545.558,0,18
11/7/1920,1920,0,,BFF,ATN,1542.193,1300,0.854251742,0.145748258,1551.359,1290.834,35,0
11/11/1920,1920,0,,CHL,CHI,1300,1489.67,0.32790887,0.67209113,1281.104,1508.566,0,20
11/11/1920,1920,0,,THO,RII,1300,1540.573,0.266846906,0.733153094,1307.111,1533.462,7,7
11/14/1920,1920,0,,BFF,COL,1551.359,1416.441,0.759660756,0.240339244,1567.27,1400.53,43,7
11/14/1920,1920,0,,ARI,CNC,1516.399,1285.709,0.84581252,0.15418748,1524.675,1277.433,20,0
11/14/1920,1920,0,,GAR,HAM,1300,1426.924,0.411815995,0.588184005,1308.39,1418.534,7,6
11/14/1920,1920,0,,RII,DAY,1533.462,1536.85,0.587748899,0.412251101,1496.08,1574.232,0,21
11/14/1920,1920,0,,FTW,DHR,1335.595,1460.271,0.414954033,0.585045967,1338.188,1457.677,0,0
11/14/1920,1920,0,,CBD,CHT,1545.558,1305.494,0.852719227,0.147280773,1553.555,1297.498,21,0
